SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR25-01597649,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:11,9/2/2025 9:32,9/2/2025 9:11,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597647,Graffiti Removal Request,GRAF,,Streets and Sanitation,Completed,Mobile Device,9/2/2025 9:10,9/3/2025 10:10,9/3/2025 10:10,4635 N LINCOLN AVE,,,,4635,N,LINCOLN,AVE,FALSE,FALSE,,,4,47,2,K011,1,19,1911,42,,9,3,9,1160134.8386154207,1930858.3011175988,41.965992,-87.686604,"(41.965992000941, -87.686604000002)"
SR25-01597644,Inspect Public Way Request,PBD,311 City Services,CDOT - Department of Transportation,Completed,Phone Call,9/2/2025 9:10,9/5/2025 13:34,9/5/2025 13:34,1500 N MENARD AVE,Chicago,Illinois,60651,1500,N,MENARD,AVE,FALSE,FALSE,,,25,29,6,B019,3,25,2531,25,,9,3,9,1137322.8879255243,1909431.3413959874,41.907636,-87.770997,"(41.907636000941, -87.770997000002)"
SR25-01597640,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Open,Internet,9/2/2025 9:10,9/2/2025 9:10,,1216 W MONTANA ST,Chicago,Illinois,60614,1216,W,MONTANA,ST,FALSE,FALSE,,,7,32,4,M016,3,19,1932,18,,9,3,9,1167672.9820470908,1916514.683840681,41.926473,-87.6593025,"(41.926473000941, -87.659302500002)"
SR25-01597639,Tree Emergency,SEC,311 City Services,Streets and Sanitation,Completed,Phone Call,9/2/2025 9:10,9/2/2025 13:44,9/2/2025 13:44,8200 S KENWOOD AVE,Chicago,Illinois,60619,8200,S,KENWOOD,AVE,FALSE,FALSE,,,45,8,12,T041,1,04,0411,48,,9,3,9,1186562.0744005057,1850828.5117828962,41.745798,-87.591978,"(41.74579800094, -87.591978000002)"
SR25-01597637,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:09,9/2/2025 9:32,9/2/2025 9:09,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597635,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,9/2/2025 9:09,9/2/2025 9:09,,8250 S KENWOOD AVE,Chicago,Illinois,60619,8250,S,KENWOOD,AVE,FALSE,FALSE,,,45,8,12,T041,1,04,0411,48,,9,3,9,1186578.5083724684,1850346.5282279276,41.744475,-87.591933,"(41.74447500094, -87.591933000002)"
SR25-01597633,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:09,9/2/2025 9:31,9/2/2025 9:09,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597632,Garbage Cart Maintenance,SIE,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 9:09,9/2/2025 9:09,,3334 W 71ST ST,Chicago,Illinois,60629,3334,W,71ST,ST,FALSE,FALSE,,,66,17,10,H038,3,08,0831,1,,9,3,9,1155221.0183206676,1857353.165793925,41.7643863,-87.70664417,"(41.764386296639, -87.706644169042)"
SR25-01597630,Sanitation Code Violation,SCB,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 9:09,9/2/2025 9:09,,7023 S EBERHART AVE,Chicago,Illinois,60637,7023,S,EBERHART,AVE,FALSE,FALSE,,,69,6,12,R038,2,03,0322,7,,9,3,9,1180856.2697100714,1858451.3905402399,41.766849,-87.612651,"(41.76684900094, -87.612651000002)"
SR25-01597627,Tree Debris Clean-Up Request,SEL,Streets and Sanitation,Streets and Sanitation,Open,Phone Call,9/2/2025 9:08,9/2/2025 9:09,,3147 W 15TH PL,Chicago,Illinois,60623,3147,W,15TH,PL,FALSE,FALSE,,,29,24,7,I025,2,10,1022,23,,9,3,9,1155459.1791719627,1892167.967099636,41.859918,-87.704838,"(41.85991800094, -87.704838000002)"
SR25-01597626,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Open,Internet,9/2/2025 9:08,9/2/2025 9:08,,1457 W NORWOOD ST,Chicago,Illinois,60660,1457,W,NORWOOD,ST,FALSE,FALSE,,,77,48,2,M007,3,24,2433,38,,9,3,9,1165271.048774482,1940205.8321847967,41.991534,-87.667452,"(41.991534000941, -87.667452000002)"
SR25-01597625,Sanitation Code Violation,SCB,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 9:08,9/2/2025 9:08,,7029 S RHODES AVE,Chicago,Illinois,60637,7029,S,RHODES,AVE,FALSE,FALSE,,,69,6,12,R038,2,03,0322,7,,9,3,9,1181146.0316298893,1858405.7296357658,41.76671704,-87.61159032,"(41.766717035508, -87.611590321964)"
SR25-01597619,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Open,Internet,9/2/2025 9:08,9/2/2025 9:08,,5859 S CALUMET AVE,Chicago,Illinois,60637,5859,S,CALUMET,AVE,FALSE,FALSE,,,40,20,12,Q035,3,02,0232,11,,9,3,9,1179511.4438558673,1865988.5237878342,41.78756247,-87.61735026,"(41.787562470788, -87.617350264601)"
