SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR25-01605394,Sign Repair Request - All Other Signs,PCE,,CDOT - Department of Transportation,Open,Internet,9/2/2025 23:53,9/2/2025 23:53,,3408 W 38TH ST,Chicago,Illinois,60632,3408,W,38TH,ST,FALSE,FALSE,,,58,12,8,H030,1,09,0911,11,,23,3,9,1154184.7228394994,1879266.0221113954,41.824539,-87.70986,"(41.82453900094, -87.709860000002)"
SR25-01605393,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:53,9/3/2025 0:31,9/2/2025 23:53,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605391,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:53,9/3/2025 0:31,9/2/2025 23:53,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605389,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:50,9/3/2025 0:31,9/2/2025 23:50,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605388,Building Violation,BBA,,DOB - Buildings,Open,Mobile Device,9/2/2025 23:49,9/2/2025 23:49,,6512 S FAIRFIELD AVE,,,,6512,S,FAIRFIELD,AVE,FALSE,FALSE,,,66,16,11,J037,3,08,0831,6,,23,3,9,1159085.6259482284,1861243.9344273251,41.774985,-87.692373,"(41.77498500094, -87.692373000002)"
SR25-01605387,Yard Waste Pick-Up Request,SCQ,311 City Services,Streets and Sanitation,Completed,Phone Call,9/2/2025 23:49,9/3/2025 9:53,9/3/2025 9:53,5237 N NEWCASTLE AVE,Chicago,Illinois,60656,5237,N,NEWCASTLE,AVE,FALSE,FALSE,,,10,41,1,Z109,1,16,1613,30,,23,3,9,1130013.2329025613,1934536.9251087643,41.976657,-87.7972725,"(41.976657000941, -87.797272500002)"
SR25-01605384,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:49,9/3/2025 0:31,9/2/2025 23:49,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605383,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:48,9/3/2025 0:31,9/2/2025 23:48,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605379,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:48,9/3/2025 0:31,9/2/2025 23:48,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605378,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Open,Mobile Device,9/2/2025 23:48,9/2/2025 23:48,,505 W BELDEN AVE,,,,505,W,BELDEN,AVE,FALSE,FALSE,,,7,43,5,O017,1,18,1812,20,,23,3,9,1172481.976562732,1915537.0348188526,41.9236852,-87.64166077,"(41.923685196554, -87.641660768817)"
SR25-01605376,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:47,9/3/2025 0:31,9/2/2025 23:47,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605373,Alley Pothole Complaint,PHB,,CDOT - Department of Transportation,Open,Internet,9/2/2025 23:45,9/3/2025 0:00,,2547 S HILLOCK AVE,Chicago,Illinois,60608,2547,S,HILLOCK,AVE,FALSE,FALSE,,,60,11,9,N027,1,09,0913,1,,23,3,9,1169161.6046809587,1887162.3889489667,41.845896,-87.6546855,"(41.84589600094, -87.654685500002)"
SR25-01605372,Finance Parking Code Enforcement Review,FPCE,,Finance,Completed,Mobile Device,9/2/2025 23:44,9/2/2025 23:44,9/2/2025 23:44,4413 S DEARBORN ST,,,,4413,S,DEARBORN,ST,FALSE,FALSE,,,38,3,9,P032,1,02,0215,1,,23,3,9,1176773.8399924026,1875675.6539491354,41.814207,-87.627096,"(41.81420700094, -87.627096000002)"
SR25-01605371,Sign Repair Request - All Other Signs,PCE,,CDOT - Department of Transportation,Open,Mobile Device,9/2/2025 23:44,9/2/2025 23:44,,803 S RACINE AVE,,,,803,S,RACINE,AVE,FALSE,FALSE,,,28,34,7,N024,3,12,1232,25,,23,3,9,1168559.4039776751,1896514.8559563446,41.871573,-87.656625,"(41.87157300094, -87.656625000002)"
SR25-01605367,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Completed,Mobile Device,9/2/2025 23:41,9/3/2025 14:32,9/3/2025 14:32,708F S RACINE AVE,,,,708F,S,RACINE,AVE,FALSE,FALSE,,,28,34,7,M024,3,12,1231,28,,23,3,9,1168343.911,1896952.6498395756,41.872779,-87.6574035,"(41.87277900094, -87.657403500002)"
SR25-01605366,Aircraft Noise Complaint,AVN,,Aviation,Completed,Mobile Device,9/2/2025 23:41,9/3/2025 0:31,9/2/2025 23:41,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605365,Finance Parking Code Enforcement Review,FPCE,,Finance,Completed,Mobile Device,9/2/2025 23:40,9/2/2025 23:40,9/2/2025 23:40,1541 N BOSWORTH AVE,,,,1541,N,BOSWORTH,AVE,FALSE,FALSE,,,24,1,5,M019,3,14,1433,8,,23,3,9,1165865.544,1910514.892895757,41.910048,-87.6661155,"(41.910048000941, -87.666115500002)"
SR25-01605364,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Completed,Mobile Device,9/2/2025 23:40,9/4/2025 7:37,9/4/2025 7:37,1106 S MAY ST,,,,1106,S,MAY,ST,FALSE,FALSE,,,28,34,7,N024,3,12,1232,4,,23,3,9,1168823.127270287,1895247.658165041,41.86809,-87.6556935,"(41.86809000094, -87.655693500002)"
SR25-01605363,Fly Dumping Complaint,SDR,,Streets and Sanitation,Completed,Internet,9/2/2025 23:40,9/4/2025 10:20,9/4/2025 10:20,1631 S AVERS AVE,Chicago,Illinois,60623,1631,S,AVERS,AVE,FALSE,FALSE,,,29,24,6,G026,1,10,1014,15,,23,3,9,1151102.6790908426,1891428.0582492207,41.857974,-87.720849,"(41.85797400094, -87.720849000002)"
SR25-01605362,Water Lead Test Kit Request,WCA2,,DWM - Department of Water Management,Open,Internet,9/2/2025 23:40,9/2/2025 23:40,,821 N FRANCISCO AVE,Chicago,Illinois,60622,821,N,FRANCISCO,AVE,FALSE,FALSE,,,24,36,5,I020,1,12,1211,21,,23,3,9,1156973.0814529608,1905449.0286977727,41.896332,-87.6989205,"(41.896332000941, -87.698920500002)"
SR25-01605361,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Open,Mobile Device,9/2/2025 23:39,9/2/2025 23:39,,1155 W ROOSEVELT RD,,,,1155,W,ROOSEVELT,RD,FALSE,FALSE,,,28,28,7,N025,3,12,1232,4,,23,3,9,1168700.8394761998,1894744.8856845002,41.866713,-87.656157,"(41.86671300094, -87.656157000002)"
SR25-01605360,Graffiti Removal Request,GRAF,311 City Services,Streets and Sanitation,Completed,Phone Call,9/2/2025 23:39,9/3/2025 9:48,9/3/2025 9:48,226 N CLINTON ST,Chicago,Illinois,60661,226,N,CLINTON,ST,FALSE,FALSE,,,28,34,7,O022,1,12,1214,41,,23,3,9,1172554.759036244,1901892.7753739147,41.886243,-87.6417975,"(41.88624300094, -87.641797500002)"
SR25-01605359,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Completed,Mobile Device,9/2/2025 23:39,9/3/2025 14:33,9/3/2025 14:33,1068 W TAYLOR ST,,,,1068,W,TAYLOR,ST,FALSE,FALSE,,,28,34,7,N024,3,12,1232,25,,23,3,9,1169346.855899733,1895825.7615370336,41.869665,-87.653754,"(41.86966500094, -87.653754000002)"
SR25-01605358,Water On Street Complaint,AAE,,DWM - Department of Water Management,Completed,Internet,9/2/2025 23:39,9/3/2025 9:14,9/3/2025 9:14,2547 S HILLOCK AVE,Chicago,Illinois,60608,2547,S,HILLOCK,AVE,FALSE,FALSE,,,60,11,9,N027,1,09,0913,1,,23,3,9,1169161.6046809587,1887162.3889489667,41.845896,-87.6546855,"(41.84589600094, -87.654685500002)"
SR25-01605356,Fly Dumping Complaint,SDR,,Streets and Sanitation,Completed,Mobile Device,9/2/2025 23:38,9/4/2025 11:44,9/4/2025 11:44,4433 N ST LOUIS AVE,,,,4433,N,ST LOUIS,AVE,FALSE,FALSE,,,14,33,2,H011,2,17,1723,20,,23,3,9,1152324.8239444522,1929390.342765645,41.962122,-87.715359,"(41.962122000941, -87.715359000002)"
SR25-01605355,Vicious Animal Complaint,EAF,311 City Services,Animal Care and Control,Completed,Phone Call,9/2/2025 23:38,9/3/2025 11:43,9/3/2025 11:43,2758 W 47TH ST,Chicago,Illinois,,2758,W,47TH,ST,FALSE,FALSE,,,58,12,8,I033,2,09,0922,25,,23,3,9,1158494.1188537986,1873375.8284084536,41.80828867,-87.69421077,"(41.808288666056, -87.694210772354)"
SR25-01605354,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Completed,Mobile Device,9/2/2025 23:36,9/3/2025 14:33,9/3/2025 14:33,1114 W TAYLOR ST,,,,1114,W,TAYLOR,ST,FALSE,FALSE,,,28,34,7,N024,3,12,1232,25,,23,3,9,1169030.5839046831,1895829.8193986893,41.869683,-87.654915,"(41.86968300094, -87.654915000002)"
SR25-01605352,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Completed,Mobile Device,9/2/2025 23:36,9/3/2025 14:34,9/3/2025 14:34,1148 W TAYLOR ST,,,,1148,W,TAYLOR,ST,FALSE,FALSE,,,28,34,7,N024,3,12,1232,25,,23,3,9,1168694.8826609892,1895810.7697316718,41.869638,-87.656148,"(41.86963800094, -87.656148000002)"
SR25-01605347,Tree Debris Clean-Up Request,SEL,,Streets and Sanitation,Open,Internet,9/2/2025 23:32,9/2/2025 23:32,,2866 W 21ST ST,Chicago,Illinois,60623,2866,W,21ST,ST,FALSE,FALSE,,,30,25,7,I026,2,10,1023,7,,23,3,9,1157308.0727002926,1889984.1394771584,41.853888,-87.6981105,"(41.85388800094, -87.698110500002)"
SR25-01605345,Graffiti Removal Request,GRAF,,Streets and Sanitation,Completed,Internet,9/2/2025 23:31,9/3/2025 9:25,9/3/2025 9:25,3533 S ARCHER AVE,Chicago,Illinois,60609,3533,S,ARCHER,AVE,FALSE,FALSE,,,59,12,8,K030,1,09,0912,3,,23,3,9,1162745.2247020688,1881179.4868958257,41.829615,-87.6784005,"(41.82961500094, -87.678400500002)"
SR25-01605343,Fly Dumping Complaint,SDR,,Streets and Sanitation,Completed,Internet,9/2/2025 23:30,9/4/2025 8:56,9/4/2025 8:56,1628 S PULASKI RD,Chicago,Illinois,60623,1628,S,PULASKI,RD,FALSE,FALSE,,,29,24,6,F026,1,10,1012,33,,23,3,9,1149891.5318818188,1891416.1701899148,41.857965,-87.725295,"(41.85796500094, -87.725295000002)"
SR25-01605341,Tree Debris Clean-Up Request,SEL,,Streets and Sanitation,Open,Internet,9/2/2025 23:29,9/2/2025 23:29,,1915 S ALBANY AVE,Chicago,Illinois,60623,1915,S,ALBANY,AVE,FALSE,FALSE,,,30,24,7,I026,2,10,1022,39,,23,3,9,1156087.8761407898,1890358.8753095123,41.854941,-87.702579,"(41.85494100094, -87.702579000002)"
SR25-01605340,Stray Animal Complaint,EAE,311 City Services,Animal Care and Control,Open,Phone Call,9/2/2025 23:28,9/2/2025 23:28,,34 E 114TH ST,Chicago,Illinois,60628,34,E,114TH,ST,FALSE,FALSE,,,49,9,14,Q049,3,05,0531,31,,23,3,9,1178625.990522466,1829436.7055919582,41.68728,-87.621705,"(41.68728000094, -87.621705000002)"
SR25-01605339,Street Light Out Complaint,SFD,311 City Services,CDOT - Department of Transportation,Completed,Phone Call,9/2/2025 23:28,9/4/2025 14:14,9/4/2025 14:14,4806 S MAY ST,Chicago,Illinois,60609,4806,S,MAY,ST,FALSE,FALSE,,,61,20,9,N033,3,09,0933,4,,23,3,9,1169397.1636173574,1872874.3143881105,41.806683,-87.6542355,"(41.80668300094, -87.654235500002)"
SR25-01605336,Graffiti Removal Request,GRAF,,Streets and Sanitation,Completed,Internet,9/2/2025 23:24,9/4/2025 10:07,9/4/2025 10:07,2600 W 19TH ST,Chicago,Illinois,60608,2600,W,19TH,ST,FALSE,FALSE,,,30,25,7,J026,2,10,1023,7,,23,3,9,1159147.698606824,1890725.926919659,41.855886,-87.691338,"(41.85588600094, -87.691338000002)"
SR25-01605335,Abandoned Vehicle Complaint,SKA,,Streets and Sanitation,Open,Internet,9/2/2025 23:24,9/3/2025 0:00,,10801 S EGGLESTON AVE,Chicago,Illinois,60628,10801,S,EGGLESTON,AVE,FALSE,FALSE,,,49,21,14,O048,3,22,2233,27,,23,3,9,1175273.7269760664,1833243.2246316243,41.697801,-87.633864,"(41.69780100094, -87.633864000002)"
SR25-01605334,Water in Basement Complaint,AAF,,DWM - Department of Water Management,Canceled,Mobile Device,9/2/2025 23:24,9/2/2025 23:30,9/2/2025 23:30,10314 S EBERHART AVE,,,,10314,S,EBERHART,AVE,FALSE,FALSE,,,49,9,14,R047,1,05,0512,14,,23,3,9,1181330.6066888473,1836586.036594655,41.706837,-87.6115845,"(41.70683700094, -87.611584500002)"
SR25-01605333,Finance Parking Code Enforcement Review,FPCE,,Finance,Completed,Mobile Device,9/2/2025 23:23,9/2/2025 23:23,9/2/2025 23:23,2132 N SPAULDING AVE,,,,2132,N,SPAULDING,AVE,FALSE,FALSE,,,22,35,5,H017,1,14,1413,7,,23,3,9,1153727.0984661782,1914110.0970423752,41.920164,-87.7106115,"(41.920164000941, -87.710611500002)"
SR25-01605330,Tree Emergency,SEC,,Streets and Sanitation,Completed,Mobile Device,9/2/2025 23:22,9/3/2025 10:27,9/3/2025 10:27,4112 W ADAMS ST,,,,4112,W,ADAMS,ST,FALSE,FALSE,,,26,28,6,F023,1,11,1115,26,,23,3,9,1148944.6777933387,1898785.622044615,41.878206,-87.72858,"(41.87820600094, -87.728580000002)"
SR25-01605329,Pothole in Street Complaint,PHF,,CDOT - Department of Transportation,Open,Mobile Device,9/2/2025 23:22,9/2/2025 23:22,,5706 S FAIRFIELD AVE,,,,5706,S,FAIRFIELD,AVE,FALSE,FALSE,,,63,15,11,J035,2,08,0824,23,,23,3,9,1158943.5069791554,1866644.5653730754,41.789808,-87.6927465,"(41.78980800094, -87.692746500002)"
SR25-01605328,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:22,9/2/2025 23:31,9/2/2025 23:22,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605327,Graffiti Removal Request,GRAF,,Streets and Sanitation,Completed,Internet,9/2/2025 23:21,9/3/2025 10:41,9/3/2025 10:41,2701 W 18TH ST,Chicago,Illinois,60608,2701,W,18TH,ST,FALSE,FALSE,,,29,25,7,J026,2,10,1023,7,,23,3,9,1158599.6981740226,1891217.0792457552,41.857245,-87.693336,"(41.85724500094, -87.693336000002)"
SR25-01605326,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Open,Mobile Device,9/2/2025 23:21,9/2/2025 23:21,,9134 S BURNSIDE AVE,,,,9134,S,BURNSIDE,AVE,FALSE,FALSE,,,49,6,14,Q044,3,06,0633,23,,23,3,9,1179635.7697861292,1844302.2121520778,41.72805,-87.617556,"(41.72805000094, -87.617556000002)"
SR25-01605325,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:21,9/2/2025 23:30,9/2/2025 23:21,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605323,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:19,9/2/2025 23:30,9/2/2025 23:19,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605322,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:19,9/2/2025 23:31,9/2/2025 23:19,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605320,Traffic Signal Out Complaint,SFB,,CDOT - Department of Transportation,Completed,Mobile Device,9/2/2025 23:19,9/3/2025 2:37,9/3/2025 2:37,414 N ORLEANS ST,,,,414,N,ORLEANS,ST,FALSE,FALSE,,,8,42,5,P021,3,18,1831,17,,23,3,9,1173706.1459786168,1903164.8100058655,41.889708,-87.6375315,"(41.88970800094, -87.637531500002)"
SR25-01605319,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:18,9/2/2025 23:30,9/2/2025 23:18,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605313,Sidewalk Inspection Request,PBS,,CDOT - Department of Transportation,Open,Internet,9/2/2025 23:16,9/3/2025 0:00,,10522 S ALBANY AVE,Chicago,Illinois,60655,10522,S,ALBANY,AVE,FALSE,FALSE,,,74,19,13,I047,1,22,2211,29,,23,3,9,1157446.9345118587,1834584.3336409482,41.70186,-87.6991005,"(41.70186000094, -87.699100500002)"
SR25-01605312,Yard Waste Pick-Up Request,SCQ,,Streets and Sanitation,Completed,Mobile Device,9/2/2025 23:16,9/3/2025 14:03,9/3/2025 14:03,3426 N KILBOURN AVE,,,,3426,N,KILBOURN,AVE,FALSE,FALSE,,,16,30,3,E014,3,17,1731,26,,23,3,9,1145750.0102339764,1922525.0283145302,41.94341058,-87.73970694,"(41.943410575265, -87.7397069399)"
SR25-01605310,Aircraft Noise Complaint,AVN,311 City Services,Aviation,Completed,Phone Call,9/2/2025 23:14,9/2/2025 23:31,9/2/2025 23:14,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605309,Tree Debris Clean-Up Request,SEL,,Streets and Sanitation,Open,Internet,9/2/2025 23:14,9/2/2025 23:14,,10801 S EGGLESTON AVE,Chicago,Illinois,60628,10801,S,EGGLESTON,AVE,FALSE,FALSE,,,49,21,14,O048,3,22,2233,27,,23,3,9,1175273.7269760664,1833243.2246316243,41.697801,-87.633864,"(41.69780100094, -87.633864000002)"
SR25-01605308,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:13,9/2/2025 23:31,9/2/2025 23:13,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605307,Clean Vacant Lot Request,SCT,,Streets and Sanitation,Open,Mobile Device,9/2/2025 23:13,9/2/2025 23:13,,4106 W ADAMS ST,,,,4106,W,ADAMS,ST,FALSE,FALSE,,,26,28,6,F023,1,11,1115,26,,23,3,9,1148994.9230622316,1898785.9761366711,41.878206,-87.7283955,"(41.87820600094, -87.728395500002)"
SR25-01605306,Water Lead Test Kit Request,WCA2,,DWM - Department of Water Management,Open,Internet,9/2/2025 23:13,9/2/2025 23:13,,1717 S MICHIGAN AVE,Chicago,Illinois,60616,1717,S,MICHIGAN,AVE,FALSE,FALSE,,,33,3,7,Q026,3,01,0132,22,,23,3,9,1177673.1153942617,1891849.1577845644,41.858568,-87.623307,"(41.85856800094, -87.623307000002)"
SR25-01605305,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:12,9/2/2025 23:30,9/2/2025 23:12,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605304,Report an Injured Animal,EAQ,311 City Services,Animal Care and Control,Completed,Phone Call,9/2/2025 23:12,9/3/2025 8:35,9/3/2025 8:35,5600 S MARSHFIELD AVE,Chicago,Illinois,60636,5600,S,MARSHFIELD,AVE,FALSE,FALSE,,,67,16,11,L035,1,07,0715,10,,23,3,9,1166197.109420909,1867526.226974805,41.792076,-87.6661245,"(41.79207600094, -87.666124500002)"
SR25-01605302,Water Lead Test Kit Request,WCA2,,DWM - Department of Water Management,Open,Internet,9/2/2025 23:12,9/2/2025 23:12,,9847 S J,Chicago,Illinois,60617,9847,S,J,,FALSE,FALSE,,,52,10,15,Y046,3,04,0432,22,,23,3,9,1202538.6878298405,1840263.0501857148,41.716413,-87.5337975,"(41.71641300094, -87.533797500002)"
SR25-01605300,Water Lead Test Kit Request,WCA2,,DWM - Department of Water Management,Open,Internet,9/2/2025 23:12,9/2/2025 23:12,,1600 N BELL AVE,Chicago,Illinois,60647,1600,N,BELL,AVE,FALSE,FALSE,,,24,32,5,K018,3,14,1434,2,,23,3,9,1161041.499664454,1910697.6118529867,41.910651,-87.683832,"(41.910651000941, -87.683832000002)"
SR25-01605299,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:11,9/2/2025 23:31,9/2/2025 23:11,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605298,Water Lead Test Kit Request,WCA2,,DWM - Department of Water Management,Open,Internet,9/2/2025 23:11,9/2/2025 23:11,,4152 N DRAKE AVE,Chicago,Illinois,60618,4152,N,DRAKE,AVE,FALSE,FALSE,,,16,33,4,H012,2,17,1723,23,,23,3,9,1151903.2705836995,1927589.9754479965,41.95719,-87.7169565,"(41.957190000941, -87.716956500002)"
SR25-01605292,Water in Basement Complaint,AAF,,DWM - Department of Water Management,Canceled,Mobile Device,9/2/2025 23:08,9/2/2025 23:31,9/2/2025 23:31,4757 S KEDVALE AVE,,,,4757,S,KEDVALE,AVE,FALSE,FALSE,,,57,14,8,F033,1,08,0815,28,,23,3,9,1149574.9312706904,1872529.2923061964,41.806143,-87.7269465,"(41.80614300094, -87.726946500002)"
SR25-01605290,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:06,9/2/2025 23:30,9/2/2025 23:06,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605289,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:06,9/2/2025 23:31,9/2/2025 23:06,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605285,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:05,9/2/2025 23:31,9/2/2025 23:05,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605284,Traffic Signal Out Complaint,SFB,,CDOT - Department of Transportation,Completed,Mobile Device,9/2/2025 23:04,9/3/2025 7:03,9/3/2025 7:03,350 W CHICAGO AVE,,,,350,W,CHICAGO,AVE,FALSE,FALSE,,,8,27,5,P020,2,18,1823,48,,23,3,9,1173620.2292934905,1905751.8873394213,41.896809,-87.63777,"(41.89680900094, -87.637770000002)"
SR25-01605283,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:04,9/2/2025 23:30,9/2/2025 23:04,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605281,Fly Dumping Complaint,SDR,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 23:03,9/2/2025 23:03,,5009 S CARPENTER ST,Chicago,Illinois,60609,5009,S,CARPENTER,ST,FALSE,FALSE,,,61,20,9,N033,3,09,0933,4,,23,3,9,1170235.9931245293,1871532.9781230157,41.802984,-87.651198,"(41.80298400094, -87.651198000002)"
SR25-01605279,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:03,9/2/2025 23:30,9/2/2025 23:03,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
